GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
US1COBO0222,LAFAYETTE 2.5 NW,BOULDER,Colorado,5286,40.02,-105.14,M,M,M,M,M,M,M,M,M,T,T,0.5,0.5,1.5,1,1,T,5.5,3.5,T,0.5,T,M,M,7.5,5,2,1
US1COBO0008,LAFAYETTE 0.4 WSW,BOULDER,Colorado,5284,39.99,-105.11,T,T,0,0,0,0,0,T,0,T,0,0.5,T,1,1,1,T,4.5,2.5,0.5,1,T,T,T,8.5,5,2.5,0.5
USW00023062,DENVER-STAPLETON,DENVER,Colorado,5283,39.77,-104.87,0,0,0,0,0,0,0,0,0,0,T,0,T,1,1,1,0,2,1,0,2,1,0,0,11,5,3,2
US1COBO0266,LAFAYETTE 0.8 WSW,BOULDER,Colorado,5279,39.99,-105.11,T,T,T,T,T,T,0,T,T,T,T,0.4,0.5,1.5,1.5,1.5,M,4.3,3,2,2,1,0.5,T,7,5,3,2
USC00056832,RANGELY 1E,RIO BLANCO,Colorado,5276,40.09,-108.77,2,2,2,2,0,2,M,2,2,1,1,1,1,2,2,2,2,1,0,1,1,1,1,1,1,1,M,M
US1COBO0457,BOULDER 0.7 ENE,BOULDER,Colorado,5274,40.03,-105.24,M,M,M,M,M,M,M,T,M,T,T,T,M,1.5,0.5,0.5,M,8.2,1.7,M,T,M,M,M,7.5,4,0.5,0.5
US1COBO0220,BOULDER 4.7 ENE,BOULDER,Colorado,5271,40.06,-105.17,T,M,M,0,0,M,M,T,T,T,T,M,0.3,2.5,1.5,1,T,6.5,2,0.5,0.5,T,T,M,9.5,5,2.5,1
US1COBO0120,BOULDER 3.0 E,BOULDER,Colorado,5265,40.01,-105.21,M,M,M,M,M,M,M,M,M,M,M,M,M,1,M,M,M,5,M,M,M,M,M,M,6,M,M,M
US1COBO0290,LAFAYETTE 2.3 NW,BOULDER,Colorado,5263,40.02,-105.13,M,M,M,M,M,M,M,M,M,M,M,M,0.4,1.7,1.5,1.3,M,5.2,0.5,M,0.3,M,M,M,6.9,3.8,2,M
US1COLR0142,WEL 1.8 NE,LARIMER,Colorado,5261,40.73,-104.97,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,5,M,M,M,M,M,M,M,M,M,0
USC00054546,KIM 10SSE,LAS ANIMAS,Colorado,5256,37.12,-103.3,0,0,0,T,0,0,0,0,0,0,0,T,T,1,1,1,T,1,1,T,0,0,0,0,0,0,0,0
US1CODN0269,DENVER 6.7 NE,DENVER,Colorado,5248,39.8,-104.88,M,M,M,M,M,M,M,M,M,M,M,0.1,0.1,1.3,M,M,M,1.7,M,M,M,M,M,M,11,3,M,M
US1COBO0018,LAFAYETTE 0.2 S,BOULDER,Colorado,5248,39.99,-105.1,M,M,M,M,M,M,M,M,M,T,T,0.6,T,1.4,M,M,M,4.3,M,M,1,M,M,M,8,M,M,M
US1COLR0252,BELLVUE 1 NW,LARIMER,Colorado,5245,40.63,-105.18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,T,T,4,M,M,M
US1COAD0100,THORNTON 2.1 N,ADAMS,Colorado,5243,39.92,-104.96,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,1.1,1,1,0.5,2,1.5,T,0.5,T,0,0,11.5,6.5,4.5,3.5
US1COBR0032,BROOMFIELD 3.2 NNE,BROOMFIELD,Colorado,5230,39.99,-105.05,T,0,0,0,0,0,0,T,T,T,T,0.5,T,1.5,1.5,1,T,3,1.5,T,0.5,T,0,0,7,5,2.5,1.5
USC00058839,WATERDALE,LARIMER,Colorado,5229,40.43,-105.21,0,0,0,0,0,0,M,0,M,0,0,0,0,2,2,0,1,6,4,3,1,0,0,0,M,2,1,0
USC00052223,DENVER WATER DEPARTMENT,DENVER,Colorado,5227,39.73,-105.01,0,0,0,0,0,0,0,0,0,T,0,T,0,1,1,0,0,2,1,0,1,0,0,0,8,2,2,1
US1COLR0284,FCL 3.0 W,LARIMER,Colorado,5219,40.59,-105.15,M,M,M,M,M,M,M,M,T,T,T,0.3,0.5,2.5,2.5,M,1,6,M,M,0.5,M,M,M,4,M,M,M
US1COLR0952,WELLINGTON 0.4 NW,LARIMER,Colorado,5219,40.71,-105.01,M,M,M,M,M,M,M,M,M,M,M,M,0.5,2.5,2,2,2.5,5.5,4,3,1.5,1,T,M,M,T,M,M
US1COWE0409,NUNN 6.5 NE,WELD,Colorado,5217,40.77,-104.69,0,0,0,0,0,0,0,0,0,0,0,T,T,1,1,1,1.5,1.5,1.5,1.5,0.5,T,T,0,0.5,T,0,0
US1COGF0090,BATTLEMENT MESA 0.9 WNW,GARFIELD,Colorado,5212,39.45,-108.04,3.5,3,2.5,1.5,1,1,1,0.5,M,0.5,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0538,BOULDER 3.1 NE,BOULDER,Colorado,5204,40.06,-105.21,0,0,0,0,0,0,0,0,0,T,T,0.4,0.4,1.5,1.2,1,0,6.7,3.5,1.3,0.1,0,M,0,7.5,4,1.3,1.4
US1COLR1116,FORT COLLINS 8.6 N,LARIMER,Colorado,5204,40.68,-105.05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.2,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0469,NIWOT 2.2 SW,BOULDER,Colorado,5203,40.07,-105.19,M,M,M,M,M,M,M,M,M,M,M,M,0.3,1.3,M,M,M,M,2.5,M,M,M,M,M,M,M,M,M
US1COWE0345,NUNN 1.2 ENE,WELD,Colorado,5201,40.71,-104.76,0,0,0,0,0,0,0,0,0,0,M,0,1,3.5,3,2.5,3,3.5,3,1,0.5,0,0,M,1,0,0,0
US1COLR1008,WELLINGTON 0.8 SW,LARIMER,Colorado,5194,40.7,-105.01,M,M,M,M,M,M,M,M,M,M,M,M,M,2.2,2.2,2,2,5.5,3.5,2.5,1.5,T,T,T,M,T,T,T
USC00054538,KIM 15 NNE,LAS ANIMAS,Colorado,5189,37.45,-103.32,0,0,0,1,0,0,0,0,0,0,0,T,0,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0
US1COBO0076,NIWOT 1.8 SSW,BOULDER,Colorado,5189,40.08,-105.18,T,T,0,0,0,0,0,T,T,T,T,T,T,1,1,1,0.5,6.5,5,3,1,0.5,T,T,9.5,7.5,4.5,3
US1COLR0922,BERTHOUD 4.4 WSW,LARIMER,Colorado,5180,40.28,-105.16,0,0,0,0,0,0,0,0,T,0,0,T,T,1.5,1.5,1.5,1,4.5,2.5,T,0,0,0,0,4.5,3,2,0.5
USC00055934,NEW RAYMER 21 N,WELD,Colorado,5179,40.93,-103.87,0,0,0,0,0,1,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0035,BERTHOUD 5.2 SW,LARIMER,Colorado,5170,40.26,-105.16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M
US1COBO0099,HYGIENE .79 N,BOULDER,Colorado,5166,40.2,-105.18,M,T,0,0,0,0,0,M,T,0,0,0.5,T,1.5,1,1,1,5.5,3,1.5,0.5,T,T,0,5.5,4.5,3,2
US1COBO0442,BOULDER 4.5 E,BOULDER,Colorado,5159,40.03,-105.17,M,M,M,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,M,M,M,M,M,4,M,M
US1COLR1109,LOVELAND 2.8 WNW,LARIMER,Colorado,5158,40.43,-105.12,T,T,0,0,0,0,0,0,T,T,T,0.5,0.5,2,2,1.5,1.5,6,4.5,3.5,2,1.5,T,T,3,2,1.5,0.5
US1COLR1136,BERTHOUD 3.0 NNW,LARIMER,Colorado,5157,40.35,-105.1,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,1.2,M,M,M,M,M,M,M,M,M,M,M
US1COLR0761,LAPORTE 1.4 NW,LARIMER,Colorado,5143,40.63,-105.15,M,M,M,M,M,M,M,M,M,M,M,0.2,0.5,2,2,1.8,1.5,6.9,4.3,2,1.5,1,0.5,M,3.5,2,1.5,1
US1COLR0391,FCL 3.0 SW,LARIMER,Colorado,5140,40.54,-105.12,T,0,0,0,0,0,0,0,0,0,0,T,0.5,3.5,3,2,1.5,6,4,3,2,1,0.5,T,4,2.5,1,0.5
US1COLR0075,FORT COLLINS 2.8 WSW,LARIMER,Colorado,5140,40.55,-105.13,T,T,0,0,0,0,T,0,T,T,T,0.3,1,2.3,2.5,2,1.5,6,5,2,2,1,T,T,3.9,2.5,1,0.5
US1COLR0464,LOV 5.0 S,LARIMER,Colorado,5140,40.34,-105.09,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3.4,M,M,M
US1COAD0241,THORNTON 7.3 N,ADAMS,Colorado,5139,40.0,-104.97,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR1200,BERTHOUD 2.5 N,LARIMER,Colorado,5138,40.34,-105.09,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M
US1COLR1239,BERTHOUD 2.3 N,LARIMER,Colorado,5132,40.34,-105.09,M,M,M,M,M,M,M,T,T,0,T,0.3,T,1.5,1.5,1,T,3,1,T,M,0,0,M,4,1,T,T
US1COWE0392,ERIE 0.5 SE,WELD,Colorado,5131,40.02,-105.04,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,1,0.2,M,M,M,M,M,M,M,M,4,M,M
US1COBO0285,ERIE 1.7 WNW,BOULDER,Colorado,5130,40.04,-105.07,M,M,M,M,M,M,M,T,T,M,M,0.5,T,1.5,1.5,1.5,0.5,4.5,3,0.5,T,M,M,M,7,3.5,2.5,1.5
US1COWE0250,FCL 7.9 ENE,WELD,Colorado,5128,40.59,-104.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.5,2.5,2,1.5,0.5,0,0,0,1,0,0,0
US1COPU0133,PUEBLO WEST 2.2 NNE,PUEBLO,Colorado,5125,38.38,-104.71,M,M,M,M,M,M,M,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,3.5,M,M,M
US1COLR0509,LOV 4.0 W,LARIMER,Colorado,5124,40.39,-105.16,M,M,M,M,M,M,M,T,T,T,T,0.5,0.4,3,T,M,T,5,T,M,T,M,M,M,5,T,M,T
US1COPU0065,PUEBLO WEST 3.4 SSW,PUEBLO,Colorado,5120,38.3,-104.74,M,M,M,M,M,M,M,0,0,0,T,2,1,3,2,2,1.5,2.5,1,T,M,M,M,M,4,1,T,0
US1COLR0259,FCL 2.5 W,LARIMER,Colorado,5117,40.59,-105.13,0,M,M,M,M,M,M,0,T,T,T,0.5,0.5,2.5,2.5,2.5,1.5,5.5,4.5,3,1.5,0.5,T,T,4,2.5,1,0.5
US1COLR1009,FORT COLLINS 2.8 W,LARIMER,Colorado,5116,40.56,-105.12,M,M,M,M,M,M,M,M,M,M,M,M,1,2.5,2.5,2,1.5,6,2.5,1.5,0.5,T,T,M,4,2.5,1,T
US1COLR0412,FORT COLLINS 2.9 NW,LARIMER,Colorado,5111,40.6,-105.13,M,M,M,M,M,M,M,M,M,M,M,M,0.5,2.5,M,M,M,6,M,M,M,M,M,M,M,M,M,M
US1COLR0458,LOV 3.0 SW,LARIMER,Colorado,5111,40.37,-105.14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2,M,M,M,M,M,M,M,M,M,2,M,M,M
US1COAD0123,BRIGHTON 4.0 WNW,ADAMS,Colorado,5110,39.97,-104.87,M,M,M,M,M,M,M,M,M,T,T,T,T,1.5,1.5,1.5,0.5,2,1,M,T,M,M,M,8.5,2.5,0.5,0.5
US1COWE0511,ERIE 1.5 NNE,WELD,Colorado,5110,40.05,-105.03,M,M,M,M,M,M,M,M,T,0,0,0.2,0.1,1.1,1,0.5,T,2.6,M,T,0.2,T,0,M,7.2,M,M,M
US1COAD0022,THORNTON 2.3 SSE,ADAMS,Colorado,5100,39.86,-104.94,M,M,M,M,M,M,M,0,0,0,0,T,T,1,0.5,0.5,T,1.7,T,0,1,0,M,M,13.5,3.5,2,2
US1COPU0094,PUEBLO WEST 3.8 WSW,PUEBLO,Colorado,5099,38.33,-104.79,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,2,1.5,0,1.5,1,0,0,0,0,0,2,0,0,0
US1COLR0676,LOVELAND 2.4 NW,LARIMER,Colorado,5097,40.44,-105.11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0854,LOVELAND 2.3 NW,LARIMER,Colorado,5090,40.44,-105.1,M,M,M,M,M,M,M,M,M,M,T,0.4,M,1.5,2.5,2,1.5,4,3,2,1.5,1,0.5,T,3.1,2,0.5,T
US1COLR0472,LOV 3.4 S,LARIMER,Colorado,5084,40.37,-105.1,M,M,M,M,M,M,M,M,T,T,T,0.2,0.4,1.5,1.5,1.5,1,3.5,3,2,1,0.5,T,M,3,2,1,0.5
US1COLR0500,LOV 3.8 S,LARIMER,Colorado,5084,40.37,-105.1,M,M,M,M,M,M,M,M,M,T,M,0.3,0.5,2,M,M,M,4.5,M,M,M,M,M,M,3.2,M,M,M
US1COWE0209,ERIE 1.6 NE,WELD,Colorado,5081,40.07,-105.03,T,T,T,0,0,0,0,0,M,T,T,0.3,T,1.8,M,M,M,3.7,1.2,M,0.3,T,T,T,6.4,3.5,1.4,M
USC00055236,LOVELAND 2N,LARIMER,Colorado,5079,40.44,-105.08,0,0,0,0,0,0,0,0,T,0,T,T,T,2,2,1.5,1,5,5,3,1,T,T,T,3,2,T,T
US1COLR0762,FORT COLLINS 4.6 N,LARIMER,Colorado,5078,40.62,-105.06,T,M,M,M,M,M,M,0,M,M,T,T,0.2,2,2,1.8,1.5,3.5,3,2.5,1.5,1,T,T,2.5,2,1,1
US1COLR1242,LAPORTE 1.5 SSE,LARIMER,Colorado,5078,40.6,-105.12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,5.8,M,M,M,M,M,M,M,M,M,M
US1COLR0311,FCL 2.3 NW,LARIMER,Colorado,5075,40.6,-105.12,0,0,0,0,0,0,0,0,T,0,T,0.2,0.4,2.3,2,2,1.5,5.5,4,2.5,1,0.5,T,0,3.3,2,1,T
US1COPU0055,PUEBLO WEST 6.0 W,PUEBLO,Colorado,5075,38.33,-104.83,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,1.5,0.5,0,2,1,0,0,0,0,0,2,0,0,0
USC00054444,KARVAL,LINCOLN,Colorado,5074,38.74,-103.54,0,0,0,M,M,M,M,M,M,M,0,0,0,3,3,2,2,2,2,1,0,0,0,0,2,0,0,0
US1COLR1020,FORT COLLINS 4.9 N,LARIMER,Colorado,5072,40.63,-105.06,0,0,0,0,0,0,0,0,0,0,T,0,0,2,2,2,2,4.5,4,3,1.5,1,0.5,0,2.5,0.5,0.5,0
US1COLR0320,FCL 1.7 SW,LARIMER,Colorado,5071,40.56,-105.11,0,0,0,0,0,0,0,0,0,0,0,T,0.5,2,2,1.5,1.5,6,5,3,2,1,T,0,3.5,2.5,1,T
US1COLR0372,FCL 2.1 S,LARIMER,Colorado,5071,40.55,-105.09,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,7,M,M,M,M,M,M,M,M,M,M
US1COBO0084,LONGMONT 2.6 NW,BOULDER,Colorado,5068,40.2,-105.13,M,M,M,M,M,M,M,T,T,T,T,M,M,M,M,M,M,6.6,T,T,T,M,M,M,6.4,M,M,M
US1COLR0273,FCL 2.2 NW,LARIMER,Colorado,5066,40.6,-105.12,T,0,0,0,0,0,0,0,0,0,T,0.3,0.3,2,2,2,1.5,6,4.5,2.5,1.5,T,0,0,3.5,2,1,T
US1COLR1237,FORT COLLINS 4.6 S,LARIMER,Colorado,5066,40.49,-105.08,M,M,M,0,M,M,M,T,T,0,T,0.2,0.2,2,M,M,M,5.5,2.5,M,M,M,M,M,3,M,M,M
US1COBO0331,LONGMONT 3.8 WSW,BOULDER,Colorado,5066,40.14,-105.17,0,M,M,M,M,M,M,0,M,M,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAD0087,BRIGHTON 1.7 ESE,ADAMS,Colorado,5065,39.98,-104.79,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.1,M,M,M
US1COBO0149,LONGMONT 1.7 NNE,BOULDER,Colorado,5061,40.19,-105.09,M,M,M,M,M,M,M,M,M,M,M,0.5,M,2.5,M,M,M,4,M,M,T,M,M,M,6.5,M,M,M
US1COBO0507,LONGMONT 3.3 SW,BOULDER,Colorado,5061,40.14,-105.16,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,M,M,M,M,6,M,M,0,0,0,0,7.5,M,4,M
US1COBO0352,LONGMONT 1.8 ENE,BOULDER,Colorado,5059,40.18,-105.08,0,0,0,0,0,M,0,T,T,T,T,T,T,1.7,1.5,0,T,3.6,1.5,0.5,T,0,0,0,6.8,4.5,3.5,2
US1COLR1196,FORT COLLINS 2.5 NW,LARIMER,Colorado,5057,40.58,-105.1,M,M,M,M,M,M,M,M,M,M,M,0.2,M,M,M,M,M,M,M,M,M,M,0,M,3.4,M,M,M
US1COBO0143,LONGMONT 2.1 N,BOULDER,Colorado,5048,40.2,-105.11,0,0,0,0,0,0,0,0,T,T,T,T,T,1,1.5,1.5,T,5,3,T,T,0,0,0,6,5,2,0.5
US1COLR0797,FORT COLLINS 5.4 N,LARIMER,Colorado,5042,40.64,-105.08,M,M,M,M,M,M,M,M,M,M,M,M,0.2,2,1.9,M,2.3,5.4,4.2,M,M,M,M,M,2.6,M,M,M
US1COLN0057,HUGO 0.3 SSW,LINCOLN,Colorado,5039,39.13,-103.47,T,T,M,T,M,M,M,T,M,M,T,0.5,0.5,3,3.5,3,2,T,T,T,M,M,M,M,3,T,M,M
US1COBO0531,LONGMONT 0.4 SW,BOULDER,Colorado,5038,40.17,-105.12,M,M,M,M,M,M,M,M,M,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COWE0187,HUDSON 4.8 WSW,WELD,Colorado,5035,40.04,-104.73,0,0,0,0,0,0,0,0,0,T,T,0.2,T,1,1,1,0.5,M,M,0,0,0,0,0,5.5,4,1,T
US1COBO0435,LONGMONT 3.0 SW,BOULDER,Colorado,5035,40.14,-105.15,0,0,0,0,0,0,0,0,T,0,T,0.1,T,1.5,1,0.9,T,5,2,T,T,0,0,0,8,5.5,2.5,1.5
US1COLR1235,CAMPION 1.8 NNE,LARIMER,Colorado,5034,40.37,-105.08,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0636,FORT COLLINS 2.8 NE,LARIMER,Colorado,5032,40.61,-105.04,0,0,0,0,0,0,0,M,M,M,M,M,M,2.3,2,1.5,1.5,3.7,1.5,0.5,0,0,0,0,2.3,M,0,0
US1COLR0036,TIMNATH 4.1 NNE,LARIMER,Colorado,5032,40.59,-104.96,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,1.8,1.5,1,1,2,1,0.5,T,T,T,0,1.2,T,T,T
US1COLR0307,FCL 3.2 NE,LARIMER,Colorado,5029,40.62,-105.05,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00052196,DELTA 3E,DELTA,Colorado,5026,38.75,-108.03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0
US1COLR0769,FORT COLLINS 0.7 SSW,LARIMER,Colorado,5022,40.55,-105.07,M,M,M,M,M,M,M,M,M,M,M,0.1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COPU0132,PUEBLO WEST 3.2 SW,PUEBLO,Colorado,5020,38.32,-104.76,M,M,M,M,M,M,M,M,M,M,M,1.5,M,2,M,M,M,1.5,M,M,M,M,M,M,3.3,M,M,M
US1COLR0112,FORT COLLINS 3.9 NNE,LARIMER,Colorado,5019,40.61,-105.04,T,T,M,T,T,T,T,T,T,T,T,T,0.5,M,2.5,2.5,2.5,4.5,4,M,1,T,T,T,M,1,M,T
USC00050950,BRIGHTON 3 SE,ADAMS,Colorado,5015,39.94,-104.84,0,0,0,0,0,0,0,0,0,T,T,T,T,2,1,1,T,1,T,0,0,0,0,0,8,3,1,T
US1COBO0361,LONGMONT 1.8 E,BOULDER,Colorado,5013,40.17,-105.08,M,M,M,M,M,M,M,M,M,M,M,0.4,0.2,1.6,1.5,1,M,3.7,2.1,M,M,M,M,M,M,3.8,1,M
US1COLR0255,FCL,LARIMER,Colorado,5009,40.58,-105.09,T,T,T,0,0,0,0,0,T,T,T,0.3,0.5,2,2,1.5,1.7,5,3,2,0.5,T,T,T,3,2,0.5,T
USC00053005,FORT COLLINS,LARIMER,Colorado,5003,40.58,-105.09,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,3,1,1,0,0,0,1,2,0,0,0
US1COLR1049,FORT COLLINS 0.3 SSE,LARIMER,Colorado,5001,40.55,-105.07,M,M,M,M,M,M,0,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COPU0070,PUEBLO WEST 2.1 SE,PUEBLO,Colorado,4998,38.33,-104.7,M,M,M,M,M,M,M,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,3.5,M,M,M
US1COLR0270,FCL 1.7 SE,LARIMER,Colorado,4996,40.56,-105.06,M,M,M,M,M,M,M,M,M,M,0,M,1.1,M,2.5,M,2.5,6,M,M,M,M,M,M,M,M,M,M
US1COLR0863,FORT COLLINS 1.1 WNW,LARIMER,Colorado,4995,40.56,-105.09,M,M,M,M,M,M,M,T,T,T,T,0.3,0.4,2.5,M,2,1,4.5,M,1.5,1,M,T,T,3,2,1,M
US1COLR0849,FORT COLLINS 0.9 N,LARIMER,Colorado,4988,40.57,-105.07,T,T,0,0,0,0,0,T,0,0,T,T,1,2.5,2.5,2,2,5,3.5,2.5,1.5,0.5,T,T,2.5,2,0.5,T
US1COLR1056,FORT COLLINS 1.0 SE,LARIMER,Colorado,4988,40.54,-105.06,M,M,M,M,M,M,M,M,M,M,M,M,M,2.4,M,M,M,3.2,M,M,M,M,M,M,2.6,M,M,M
US1COLR1222,BERTHOUD 2.0 SSW,LARIMER,Colorado,4986,40.28,-105.09,M,M,M,M,M,M,M,M,M,M,M,M,M,1,M,M,M,4.5,M,M,M,M,M,M,M,M,M,M
US1COLR0687,LOVELAND 2.7 E,LARIMER,Colorado,4986,40.43,-105.02,T,T,T,T,T,T,T,M,M,0,T,0.3,T,1.8,1.8,1.5,1,3,1.8,1,T,T,T,T,3.2,2.2,1,1
US1COLR0104,LOVELAND 3.0 NNE,LARIMER,Colorado,4983,40.44,-105.06,0,0,0,0,0,0,0,0,T,T,0.1,0.2,M,0.5,0.5,0.5,0.5,3.6,2.5,1.5,T,T,T,0,3,2,1,0.5
US1COLR1234,FORT COLLINS 1.2 SE,LARIMER,Colorado,4977,40.54,-105.05,T,T,T,T,T,T,T,T,T,T,T,0.5,1,2.5,2,2,1.5,5,3,2,1,T,T,T,2.5,0.5,T,T
US1COLR0340,FCL 2.55 NE,LARIMER,Colorado,4976,40.61,-105.06,M,M,M,M,M,M,M,M,M,M,M,0.2,0.5,2.5,2,2,1.5,4,3,2.5,1.5,1,M,M,3,2.5,1.5,1
US1COPU0080,PUEBLO WEST 4.9 SW,PUEBLO,Colorado,4975,38.3,-104.79,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1.5,0,1.5,1,0,0,0,0,0,2.5,0,0,0
US1COLR0653,FORT COLLINS 3.4 N,LARIMER,Colorado,4973,40.61,-105.06,0,0,M,0,0,0,0,0,0,0,0,0,0,2,2,2,2.2,4,3,M,1,T,0,0,2,1.5,0.5,0
US1COLR1137,FORT COLLINS 1.2 NNE,LARIMER,Colorado,4972,40.57,-105.06,M,M,M,M,M,M,M,M,0,M,M,0.5,1,3,3,2,2,4,3,2,1,0.5,0.5,0,2.5,2,0.5,0
US1COLR0341,FCL 5.5 S,LARIMER,Colorado,4963,40.5,-105.07,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.7,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COWE0203,LONGMONT 8.2 ESE,WELD,Colorado,4963,40.12,-104.96,M,M,M,M,M,M,M,M,M,T,T,0.2,T,1.5,1.5,1,T,1.8,M,M,T,M,M,M,7.2,4,2,1
US1COLR0662,LOVELAND 2.0 SSE,LARIMER,Colorado,4963,40.39,-105.05,M,M,M,M,M,M,M,T,T,T,T,0.3,0.2,1.5,T,M,T,2.5,T,M,T,M,M,M,2.5,T,M,T
US1COLR1059,WINDSOR 2.6 SW,LARIMER,Colorado,4963,40.46,-104.95,M,M,M,M,M,M,M,M,M,M,M,M,M,2,2,2,1,3,2,0,M,M,M,M,M,0,M,M
US1COLR1125,LOVELAND 3.2 E,LARIMER,Colorado,4958,40.41,-105.01,M,M,M,M,M,M,M,M,M,M,M,0.2,M,1.5,M,M,M,3,M,M,M,M,M,M,2.5,M,M,M
US1COLR0885,FORT COLLINS 3.7 S,LARIMER,Colorado,4951,40.5,-105.07,T,T,0,0,0,M,M,0,0,0,T,0.5,0.5,2,2,1.5,1.5,5.5,3,1.5,0.5,0.5,T,T,3,0.5,T,T
USC00055116,LONGMONT 2 ESE,BOULDER,Colorado,4949,40.17,-105.08,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,4,2,M,0,0,0,0,6,4,1,0
US1COLR1110,WINDSOR 2.9 SW,LARIMER,Colorado,4949,40.45,-104.95,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3,M,M,M,M,M,M,M,M,M,M
US1COLR0845,WINDSOR 3.8 WSW,LARIMER,Colorado,4948,40.47,-104.98,M,M,M,M,M,M,M,M,0,M,T,T,T,2,2,2,1,3.5,0.5,T,T,T,T,T,2,0.5,T,T
US1COLR0632,FORT COLLINS 4.8 SE,LARIMER,Colorado,4940,40.53,-105.03,M,M,M,M,M,M,M,M,M,M,M,0.3,0.5,2.4,M,2.3,2.1,5,M,3.5,M,T,T,M,2,1.5,M,T
US1COLR0925,FORT COLLINS 1.9 E,LARIMER,Colorado,4937,40.55,-105.03,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,2,M,M,M,M,M,T,M,M,M,M,M,M
